Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Doomben,1,1200.0,9,Mishani Voltage,991473.0,52.5,8.0,Ceejay Graham,15958,L G Ross,Soft,0.4,mf,4.0,6.0,2yo,Open,54.5,,Handicap,2.0,3.0,Filly,4.7,7.0,41.0,33.11,7.0,8
Doomben,2,1050.0,1,Beast Mode,969966.0,60.0,7.0,Martin Harley,14720,David Vandyke,Soft,-2.7,op,3.0,1.0,,Rest 0 Metro Wins,52.0,,Handicap,4.0,8.0,Gelding,1.8,3.0,1.95,4.8,3.0,8
Doomben,2,1050.0,2,Mr Galazi,971942.0,59.5,5.0,Ms G Cartwright,15690,David Murphy,Soft,11.4,l,1.0,5.0,,Rest 0 Metro Wins,52.0,,Handicap,4.0,8.0,Gelding,0.1,1.0,2.45,12.12,4.0,8
Doomben,2,1050.0,3,Ralphie,961056.0,59.5,8.0,Sean Cormack,14303,Gary Doughty,Soft,-2.2,mf/bm,7.0,4.0,,Rest 0 Metro Wins,52.0,,Handicap,5.0,20.0,Gelding,0.3,3.0,21.0,16.27,6.0,8
Doomben,2,1050.0,4,Avolonte,941408.0,57.0,2.0,B Wheeler,16878,S W Kendrick,Soft,1.1,op/mf,6.0,7.0,,Rest 0 Metro Wins,52.0,,Handicap,5.0,22.0,Mare,4.4,5.0,31.0,21.69,8.0,8
Doomben,2,1050.0,5,Queen Assassin,965516.0,58.0,1.0,Justin P Stanley,11644,Nick Walsh,Soft,3.5,op,2.0,3.0,,Rest 0 Metro Wins,52.0,,Handicap,4.0,9.0,Mare,1.9,1.0,1.35,4.31,2.0,8
Doomben,2,1050.0,8,The Kewess,939929.0,56.0,6.0,M R Du Plessis,12075,Jack Bruce,Soft,6.9,bm,8.0,8.0,,Rest 0 Metro Wins,52.0,,Handicap,5.0,29.0,Gelding,0.2,2.0,4.2,21.63,7.0,8
Doomben,2,1050.0,10,Goblin De Quo,958031.0,53.0,3.0,Ceejay Graham,15958,D R Ward,Soft,12.9,op,5.0,2.0,,Rest 0 Metro Wins,52.0,,Handicap,4.0,6.0,Mare,0.5,1.0,2.2,3.83,1.0,8
Doomben,2,1050.0,11,Hamaki,944480.0,54.0,4.0,Damien Thornton,14810,Marcus Wilson,Soft,16.1,op,4.0,6.0,,Rest 0 Metro Wins,52.0,,Handicap,5.0,15.0,Gelding,2.8,1.0,2.7,16.01,5.0,8
Doomben,3,1200.0,1,Glorious Ruby,941721.0,57.0,5.0,Marnu Potgieter,16621,B J Dais,Soft,11.9,mf/bm,8.0,8.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,5.0,30.0,Mare,4.8,5.0,4.8,55.9,8.0,8
Doomben,3,1200.0,2,Stroll,955482.0,60.0,6.0,Boris Thornton,15340,S O'Dea & M Hoysted,Soft,1.2,op/mf,5.0,4.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,4.0,11.0,Mare,6.5,10.0,17.0,6.84,3.0,8
Doomben,3,1200.0,4,My Snow Queen,944972.0,59.0,4.0,Ryan Maloney,12986,David Vandyke,Soft,2.8,op,3.0,7.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,5.0,25.0,Mare,1.7,4.0,7.0,16.28,7.0,8
Doomben,3,1200.0,5,Hakkai Maru,952872.0,58.5,7.0,Jimmy Byrne,8198,Louise White,Soft,0.0,op/mf,6.0,2.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,5.0,19.0,Mare,1.9,4.0,51.0,13.58,6.0,8
Doomben,3,1200.0,6,Compassionate,941365.0,58.0,2.0,Martin Harley,14720,B J Lockwood,Soft,0.0,op/mf,4.0,5.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,5.0,26.0,Mare,2.3,5.0,13.0,9.83,4.0,8
Doomben,3,1200.0,7,Midnight In Tokyo,948691.0,58.0,3.0,Damien Thornton,14810,Annabel Neasham,Soft,0.0,mf,7.0,1.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,4.0,11.0,Mare,1.4,3.0,2.8,3.22,1.0,8
Doomben,3,1200.0,8,Latakia,959041.0,56.5,8.0,Angela Jones,16682,T J Gollan,Soft,17.7,l,1.0,3.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,4.0,5.0,Mare,0.8,2.0,1.2,5.18,2.0,8
Doomben,3,1200.0,9,Moreton Bay,942758.0,54.5,1.0,Ceejay Graham,15958,T J Gollan,Soft,7.3,l,2.0,6.0,,Benchmark 78,55.0,Fillies & Mares,Handicap,5.0,22.0,Mare,1.8,2.0,15.0,10.49,5.0,8
Doomben,4,2000.0,1,Tappys Lad,930802.0,62.5,6.0,Ben Thompson,14011,K & I Taplin,Soft,-7.3,mf,4.0,9.0,,Benchmark 80,53.0,,Handicap,6.0,52.0,Gelding,10.8,8.0,16.0,65.92,9.0,9
Doomben,4,2000.0,3,Fifth Position,920666.0,60.5,5.0,Martin Harley,14720,T J Gollan,Soft,2.0,mf/bm,5.0,1.0,,Benchmark 80,53.0,,Handicap,8.0,39.0,Gelding,0.5,2.0,7.5,4.33,1.0,9
Doomben,4,2000.0,4,Tapildoodledo,968484.0,59.0,9.0,Jaden Lloyd,16435,K & I Taplin,Soft,1.5,bm,7.0,7.0,,Benchmark 80,53.0,,Handicap,4.0,22.0,Gelding,6.4,9.0,26.0,27.91,8.0,9
Doomben,4,2000.0,5,Ostermeier,931791.0,55.5,4.0,Ceejay Graham,15958,A & T Sweeney,Soft,0.0,bm,9.0,4.0,,Benchmark 80,53.0,,Handicap,6.0,30.0,Gelding,0.7,2.0,6.5,10.42,5.0,9
Doomben,4,2000.0,6,Montabot,947371.0,57.0,1.0,Ryan Maloney,12986,M J Dunn,Soft,7.3,bm,8.0,5.0,,Benchmark 80,53.0,,Handicap,8.0,22.0,Gelding,0.1,2.0,5.0,5.77,2.0,9
Doomben,4,2000.0,7,Early Thoughts,946941.0,56.5,8.0,Justin Huxtable,15860,S W Kendrick,Soft,2.0,op,1.0,8.0,,Benchmark 80,53.0,,Handicap,5.0,26.0,Gelding,0.6,3.0,26.0,11.09,7.0,9
Doomben,4,2000.0,8,I Am The Empire,957219.0,55.5,3.0,Damien Thornton,14810,Annabel Neasham,Soft,8.8,op/mf,2.0,6.0,,Benchmark 80,53.0,,Handicap,5.0,15.0,Gelding,3.4,4.0,10.0,10.51,6.0,9
Doomben,4,2000.0,9,Flying Joy,944121.0,54.0,2.0,M R Du Plessis,12075,M A Kropp,Soft,1.5,bm,6.0,2.0,,Benchmark 80,53.0,,Handicap,5.0,18.0,Mare,2.3,3.0,9.5,6.74,3.0,9
Doomben,4,2000.0,10,Security Advisor,931371.0,50.0,7.0,Melea Castle,16152,Chris Meagher,Soft,1.5,mf,3.0,3.0,,Benchmark 80,53.0,,Handicap,5.0,14.0,Gelding,1.0,2.0,5.0,8.66,4.0,9
Doomben,5,1200.0,2,Trifling,967351.0,59.5,2.0,Michael Rodd,12237,Ms H Page,Soft,0.4,mf/bm,5.0,5.0,3yo,Open,54.0,,Handicap,3.0,11.0,Filly,6.2,9.0,13.0,28.15,7.0,8
Doomben,5,1200.0,3,Rothgo,970812.0,57.0,1.0,Ms G Cartwright,15690,John Thomas,Soft,0.4,op,2.0,7.0,3yo,Open,54.0,,Handicap,3.0,6.0,Gelding,4.7,8.0,31.0,40.17,8.0,8
Doomben,5,1200.0,4,Victory Win,975624.0,55.0,4.0,B Wheeler,16878,Annabel Neasham,Soft,17.5,mf/bm,6.0,4.0,3yo,Open,54.0,,Handicap,3.0,3.0,Gelding,1.0,1.0,1.45,2.7,1.0,8
Doomben,5,1200.0,5,Golden Decade,977695.0,56.5,3.0,Ryan Maloney,12986,M J Dunn,Soft,0.4,mf,3.0,1.0,3yo,Open,54.0,,Handicap,3.0,8.0,Gelding,2.5,4.0,14.0,8.67,4.0,8
Doomben,5,1200.0,6,Fine Shot,975903.0,55.5,8.0,Justin P Stanley,11644,Nick Walsh,Soft,21.2,mf/bm,8.0,3.0,3yo,Open,54.0,,Handicap,3.0,3.0,Gelding,2.0,1.0,1.5,5.62,3.0,8
Doomben,5,1200.0,7,Addriel,985116.0,55.0,5.0,Damien Thornton,14810,Annabel Neasham,Soft,0.4,mf/bm,7.0,2.0,3yo,Open,54.0,,Handicap,3.0,5.0,Gelding,1.6,2.0,3.1,5.38,2.0,8
Doomben,5,1200.0,8,Within Reason,970876.0,55.0,6.0,Jimmy Byrne,8198,Desleigh Forster,Soft,0.4,mf/bm,4.0,8.0,3yo,Open,54.0,,Handicap,3.0,9.0,Filly,2.1,3.0,26.0,19.33,5.0,8
Doomben,5,1200.0,9,Oberoi Princess,980382.0,54.5,7.0,Kyle Wilson-Taylor,16189,Chris Munce,Soft,15.3,op,1.0,6.0,3yo,Open,54.0,,Handicap,3.0,8.0,Filly,5.4,6.0,3.1,26.26,6.0,8
Doomben,6,1350.0,1,Blakmax,960805.0,60.0,5.0,Ryan Maloney,12986,T J Gollan,Soft,0.0,mf,9.0,8.0,,Class 3,0.0,,Set Weight,4.0,16.0,Gelding,2.0,3.0,7.0,10.3,5.0,12
Doomben,6,1350.0,2,Cacofonix,960860.0,60.0,4.0,Jimmy Byrne,8198,K A Lees,Soft,2.3,bm,11.0,5.0,,Class 3,0.0,,Set Weight,5.0,10.0,Gelding,4.1,1.0,14.0,6.75,2.0,12
Doomben,6,1350.0,3,Larrikin Rogue,971394.0,60.0,8.0,Michael Rodd,12237,Chris Anderson,Soft,0.0,bm,12.0,3.0,,Class 3,0.0,,Set Weight,4.0,8.0,Gelding,1.4,4.0,9.0,4.43,1.0,12
Doomben,6,1350.0,4,Pentito,947892.0,60.0,3.0,T Marshall,15198,Jason Edwards,Soft,0.0,mf,10.0,2.0,,Class 3,0.0,,Set Weight,5.0,26.0,Gelding,1.0,3.0,8.5,11.23,6.0,12
Doomben,6,1350.0,5,Sergeant Hulka,944225.0,60.0,1.0,Ryan Wiggins,12033,G K Taylor,Soft,15.6,op/mf,6.0,7.0,,Class 3,0.0,,Set Weight,5.0,12.0,Gelding,0.2,1.0,1.35,29.22,8.0,12
Doomben,6,1350.0,9,Argyle Pink,937290.0,56.0,2.0,Ceejay Graham,15958,T J Gollan,Soft,-3.5,l,2.0,6.0,,Class 3,0.0,,Set Weight,5.0,19.0,Mare,0.4,3.0,2.4,11.41,7.0,12
Doomben,6,1350.0,10,Arts Object,960112.0,58.0,12.0,Damien Thornton,14810,Kurt Goldman,Soft,0.0,op/mf,4.0,12.0,,Class 3,0.0,,Set Weight,4.0,11.0,Mare,3.7,8.0,17.0,33.11,10.0,12
Doomben,6,1350.0,11,Princess Rhaenys,938634.0,58.0,11.0,Angela Jones,16682,T J Gollan,Soft,-8.1,mf,8.0,1.0,,Class 3,0.0,,Set Weight,6.0,18.0,Mare,0.1,2.0,6.0,8.25,3.0,12
Doomben,6,1350.0,12,Going To The Sun,947138.0,57.0,9.0,Sean Cormack,14303,W L King,Soft,17.5,op,3.0,10.0,,Class 3,0.0,,Set Weight,5.0,9.0,Gelding,4.2,6.0,9.0,227.88,12.0,12
Doomben,6,1350.0,13,Oceana Blue,954570.0,56.5,6.0,Samantha Collett,13909,Desleigh Forster,Soft,-1.5,mf,7.0,11.0,,Class 3,0.0,,Set Weight,5.0,12.0,Mare,5.8,9.0,7.0,30.79,9.0,12
Doomben,6,1350.0,14,Shezadandi,924045.0,56.5,10.0,Kyle Wilson-Taylor,16189,Jason Patton,Soft,0.5,op/mf,5.0,9.0,,Class 3,0.0,,Set Weight,6.0,25.0,Mare,3.1,6.0,7.0,80.81,11.0,12
Doomben,6,1350.0,15,Tojaki,971192.0,56.5,7.0,R Dolan,11741,S W Kendrick,Soft,2.1,l,1.0,4.0,,Class 3,0.0,,Set Weight,4.0,5.0,Mare,0.3,2.0,3.2,8.51,4.0,12
Doomben,7,1200.0,3,Caesaris,957206.0,59.0,1.0,Ryan Maloney,12986,T J Gollan,Soft,2.6,op,5.0,2.0,,Benchmark 68,54.5,,Handicap,4.0,9.0,Mare,2.0,1.0,3.7,4.73,2.0,9
Doomben,7,1200.0,6,Thunder Mania,924336.0,59.0,5.0,Jaden Lloyd,16435,J G Symons & S Laxon,Soft,0.1,mf/bm,8.0,3.0,,Benchmark 68,54.5,,Handicap,6.0,26.0,Gelding,3.5,7.0,14.0,23.49,6.0,9
Doomben,7,1200.0,8,Amore Veloce,942503.0,58.0,6.0,Blake Spriggs,14135,R L Heathcote,Soft,0.1,l,1.0,4.0,,Benchmark 68,54.5,,Handicap,5.0,12.0,Mare,0.3,2.0,31.0,5.38,3.0,9
Doomben,7,1200.0,9,Baristasista,944612.0,58.0,4.0,Jimmy Byrne,8198,R G Lipp,Soft,4.6,mf,7.0,6.0,,Benchmark 68,54.5,,Handicap,5.0,26.0,Mare,3.3,3.0,4.2,24.89,8.0,9
Doomben,7,1200.0,10,Deep Tempest,950292.0,58.0,8.0,Michael Rodd,12237,David Vandyke,Soft,3.5,op/mf,6.0,7.0,,Benchmark 68,54.5,,Handicap,5.0,5.0,Gelding,0.2,1.0,3.9,14.24,5.0,9
Doomben,7,1200.0,12,Goomeri,978663.0,58.0,2.0,Ben Thompson,14011,M J Dunn,Soft,7.4,l,2.0,9.0,,Benchmark 68,54.5,,Handicap,4.0,4.0,Gelding,1.6,3.0,1.5,4.12,1.0,9
Doomben,7,1200.0,13,Sabalenka,948006.0,57.5,3.0,M R Du Plessis,12075,B J Smith,Soft,-5.1,mf/bm,9.0,1.0,,Benchmark 68,54.5,,Handicap,5.0,18.0,Mare,3.9,11.0,15.0,6.66,4.0,9
Doomben,7,1200.0,15,Deep Fire,967046.0,56.0,7.0,Sean Cormack,14303,Ms P Barron,Soft,17.7,op,4.0,5.0,,Benchmark 68,54.5,,Handicap,4.0,6.0,Mare,1.3,2.0,2.6,24.46,7.0,9
Doomben,7,1200.0,17,Indented Head,930932.0,52.0,9.0,C Waddell,15851,Ben Ahrens,Soft,7.4,op,3.0,8.0,,Benchmark 68,54.5,,Handicap,5.0,19.0,Mare,3.0,5.0,3.7,63.25,9.0,9
Doomben,8,1200.0,1,Holyfield,919530.0,60.0,5.0,B Wheeler,16878,Annabel Neasham,Soft,17.7,op/mf,7.0,12.0,,Open,53.0,,Quality,6.0,34.0,Gelding,2.4,8.0,9.0,46.21,12.0,12
Doomben,8,1200.0,2,Startantes,941340.0,59.5,10.0,Ben Thompson,14011,R L Heathcote,Soft,1.9,bm,12.0,10.0,,Open,53.0,,Quality,5.0,26.0,Mare,5.0,10.0,31.0,28.98,10.0,12
Doomben,8,1200.0,3,Irish Songs,886865.0,59.5,6.0,Boris Thornton,15340,Louise White,Soft,-4.2,mf/bm,10.0,9.0,,Open,53.0,,Quality,8.0,62.0,Gelding,5.3,10.0,21.0,41.48,11.0,12
Doomben,8,1200.0,4,Comrade Rosa,950789.0,58.0,12.0,Ryan Maloney,12986,T J Gollan,Soft,3.0,mf,9.0,4.0,,Open,53.0,,Quality,5.0,19.0,Mare,1.9,8.0,18.0,17.22,5.0,12
Doomben,8,1200.0,5,All That Pizzazz,957063.0,56.0,11.0,Martin Harley,14720,T J Gollan,Soft,13.7,op,6.0,1.0,,Open,53.0,,Quality,4.0,12.0,Gelding,0.1,1.0,11.0,7.53,2.0,12
Doomben,8,1200.0,6,Snowzone,893869.0,55.0,1.0,Jimmy Byrne,8198,K A Lees,Soft,1.3,mf,8.0,11.0,,Open,53.0,,Quality,7.0,54.0,Gelding,0.2,2.0,71.0,23.65,8.0,12
Doomben,8,1200.0,7,Munitions,908592.0,54.0,7.0,M R Du Plessis,12075,Richard Litt,Soft,1.3,op,4.0,7.0,,Open,53.0,,Quality,8.0,32.0,Gelding,0.2,1.0,5.5,24.36,9.0,12
Doomben,8,1200.0,8,Zoushack,897750.0,54.0,8.0,Blake Spriggs,14135,R L Heathcote,Soft,1.3,op,5.0,2.0,,Open,53.0,,Quality,7.0,35.0,Gelding,0.4,2.0,18.0,11.65,3.0,12
Doomben,8,1200.0,9,Steady Ready,966722.0,54.0,2.0,Ceejay Graham,15958,Tony & Maddysen Sears,Soft,18.4,l,1.0,6.0,,Open,53.0,,Quality,4.0,9.0,Horse,0.8,1.0,2.5,18.89,6.0,12
Doomben,8,1200.0,10,Zarastro,940776.0,53.5,3.0,Angela Jones,16682,T J Gollan,Soft,6.0,l,2.0,3.0,,Open,53.0,,Quality,5.0,13.0,Gelding,0.8,1.0,1.6,2.56,1.0,12
Doomben,8,1200.0,11,Cifrado,977029.0,53.0,4.0,Damien Thornton,14810,R G Lipp,Soft,1.3,bm,11.0,5.0,,Open,53.0,,Quality,3.0,9.0,Colt,1.7,4.0,8.0,15.45,4.0,12
Doomben,8,1200.0,12,Extremist,933777.0,53.0,9.0,R Dolan,11741,R L Heathcote,Soft,17.7,op,3.0,8.0,,Open,53.0,,Quality,5.0,19.0,Mare,0.1,2.0,9.0,19.44,7.0,12
Doomben,9,1600.0,1,Tidal Creek,941348.0,58.5,3.0,B Wheeler,16878,S W Kendrick,Soft,-10.3,op,2.0,1.0,,Class 6,52.0,,Handicap,5.0,16.0,Gelding,2.7,7.0,4.6,3.46,1.0,10
Doomben,9,1600.0,2,Southern Stock,941007.0,55.5,10.0,Kyle Wilson-Taylor,16189,Chris Munce,Soft,-13.0,mf,5.0,2.0,,Class 6,52.0,,Handicap,5.0,23.0,Gelding,11.2,12.0,61.0,13.78,6.0,10
Doomben,9,1600.0,3,Americana Magic,852763.0,54.0,8.0,Adin Thompson,16123,Grant Allard,Soft,6.7,bm,10.0,10.0,,Class 6,52.0,,Handicap,9.0,56.0,Gelding,5.5,9.0,101.0,86.4,10.0,10
Doomben,9,1600.0,4,Calm Seeker,931508.0,51.0,5.0,Melea Castle,16152,M A Kropp,Soft,2.2,op,1.0,6.0,,Class 6,52.0,,Handicap,6.0,45.0,Gelding,2.9,4.0,14.0,13.04,5.0,10
Doomben,9,1600.0,6,Count The Coin,925139.0,54.0,7.0,Angela Jones,16682,K R Kemp,Soft,4.2,mf/bm,7.0,4.0,,Class 6,52.0,,Handicap,6.0,35.0,Gelding,2.0,4.0,3.0,14.66,7.0,10
Doomben,9,1600.0,7,Duke Of Buckingham,932483.0,54.0,2.0,Blake Spriggs,14135,Chris Meagher,Soft,-2.0,op/mf,4.0,3.0,,Class 6,52.0,,Handicap,6.0,27.0,Gelding,3.3,7.0,81.0,8.38,3.0,10
Doomben,9,1600.0,9,Awesome Lad,901210.0,52.5,4.0,Damien Thornton,14810,J C Deamer,Soft,6.7,op,3.0,7.0,,Class 6,52.0,,Handicap,7.0,30.0,Gelding,8.8,20.0,31.0,11.47,4.0,10
Doomben,9,1600.0,10,The Catch,921836.0,52.0,6.0,M R Du Plessis,12075,Jack Bruce,Soft,6.7,mf/bm,6.0,9.0,,Class 6,52.0,,Handicap,6.0,20.0,Gelding,3.6,7.0,15.0,5.85,2.0,10
Doomben,9,1600.0,11,Tyresa,951976.0,50.0,1.0,Ceejay Graham,15958,K M Schweida,Soft,3.3,bm,8.0,8.0,,Class 6,52.0,,Handicap,4.0,18.0,Mare,3.4,6.0,10.0,15.72,8.0,10
Doomben,9,1600.0,12,A Big Chance,928794.0,52.0,9.0,R Dolan,11741,Ms J Aitkenhead,Soft,11.3,bm,9.0,5.0,,Class 6,52.0,,Handicap,7.0,56.0,Gelding,1.1,5.0,7.0,24.53,9.0,10
Doomben,10,1350.0,2,Zuma California,938277.0,59.5,6.0,Justin P Stanley,11644,C H Richardson,Soft,0.6,mf,9.0,2.0,,Benchmark 78,52.5,,Handicap,5.0,21.0,Gelding,3.0,7.0,21.0,16.32,6.0,11
Doomben,10,1350.0,3,Starzam,946069.0,56.5,1.0,Ceejay Graham,15958,K M Schweida,Soft,5.9,mf,8.0,6.0,,Benchmark 78,52.5,,Handicap,5.0,15.0,Gelding,1.0,1.0,4.0,3.61,1.0,11
Doomben,10,1350.0,4,Bold Warrior,884275.0,58.0,4.0,Samantha Collett,13909,Gary Doughty,Soft,6.9,op/mf,5.0,11.0,,Benchmark 78,52.5,,Handicap,8.0,59.0,Gelding,8.1,9.0,21.0,94.95,11.0,11
Doomben,10,1350.0,5,Patton,938857.0,58.0,11.0,Justin Huxtable,15860,Jack Bruce,Soft,5.9,bm,11.0,7.0,,Benchmark 78,52.5,,Handicap,5.0,26.0,Gelding,2.6,5.0,9.0,13.68,4.0,11
Doomben,10,1350.0,8,Wolf Moon,914707.0,58.0,10.0,Kirk Matheson,14768,Desleigh Forster,Soft,0.6,op,4.0,3.0,,Benchmark 78,52.5,,Handicap,6.0,21.0,Gelding,1.6,4.0,13.0,17.38,7.0,11
Doomben,10,1350.0,9,Clyde,939805.0,54.5,2.0,Marnu Potgieter,16621,B J Smith,Soft,2.0,op,2.0,8.0,,Benchmark 78,52.5,,Handicap,5.0,22.0,Gelding,9.3,11.0,8.5,42.13,10.0,11
Doomben,10,1350.0,10,Hamlet Von Snitzel,942961.0,57.5,3.0,Martin Harley,14720,R L Heathcote,Soft,2.2,l,1.0,4.0,,Benchmark 78,52.5,,Handicap,5.0,22.0,Gelding,1.4,4.0,15.0,6.82,3.0,11
Doomben,10,1350.0,11,The Drover,928312.0,57.0,5.0,Damien Thornton,14810,Natalie McCall,Soft,0.0,op,3.0,10.0,,Benchmark 78,52.5,,Handicap,7.0,33.0,Gelding,9.0,12.0,31.0,18.0,8.0,11
Doomben,10,1350.0,12,Vinasta,904335.0,57.0,9.0,Ben Thompson,14011,Corey & Kylie Geran,Soft,16.2,mf,6.0,5.0,,Benchmark 78,52.5,,Handicap,8.0,54.0,Mare,8.0,1.0,5.5,19.38,9.0,11
Doomben,10,1350.0,14,Allez Zou,928964.0,56.0,8.0,R Dolan,11741,Chris Munce,Soft,14.4,mf/bm,10.0,9.0,,Benchmark 78,52.5,,Handicap,6.0,26.0,Gelding,0.8,1.0,2.7,14.16,5.0,11
Doomben,10,1350.0,15,Storm The Fortress,960485.0,54.0,7.0,B Wheeler,16878,A J & T Edmonds,Soft,2.2,mf,7.0,1.0,,Benchmark 78,52.5,,Handicap,4.0,7.0,Gelding,3.3,7.0,3.3,5.81,2.0,11
Esk,1,800.0,1,Emperor Teio,941124.0,57.5,2.0,Amy Graham,17016,R F Chessher,Good,-1.0,op,2.0,4.0,2yo+,Maiden,0.0,,Set Weight,5.0,25.0,Gelding,7.2,10.0,151.0,,,8
Esk,1,800.0,2,Sweet Wind,920239.0,56.5,7.0,Brodie Moffat,17288,M Callaghan,Good,-5.7,op,5.0,5.0,2yo+,Maiden,0.0,,Set Weight,6.0,10.0,Gelding,7.3,8.0,81.0,,,8
Esk,1,800.0,3,Beatlemania,981171.0,57.5,6.0,Tiffani Brooker,15251,Glenn Richardson,Good,-3.9,mf,6.0,2.0,2yo+,Maiden,0.0,,Set Weight,4.0,8.0,Mare,10.7,9.0,17.0,,,8
Esk,1,800.0,4,Better Page,961968.0,54.5,4.0,Rob Thorburn,17350,Ben Ahrens,Good,-2.8,op,3.0,1.0,2yo+,Maiden,0.0,,Set Weight,4.0,10.0,Mare,2.6,3.0,5.0,,,8
Esk,1,800.0,5,Hope Is Good,932368.0,57.5,5.0,Nathan Thomas,12823,James Moore,Good,-0.7,op,1.0,3.0,2yo+,Maiden,0.0,,Set Weight,7.0,12.0,Mare,15.3,10.0,7.5,,,8
Esk,1,800.0,6,The White Mouse,952126.0,57.5,3.0,Kenji Yoshida,12327,Amanda Park,Good,0.0,op,4.0,6.0,2yo+,Maiden,0.0,,Set Weight,5.0,12.0,Mare,19.3,8.0,9.0,,,8
Esk,1,800.0,7,Train Of Thought,954874.0,54.5,1.0,Colleen Krahnen,17241,Cameron Byrne,Good,-0.3,bm,7.0,7.0,2yo+,Maiden,0.0,,Set Weight,4.0,2.0,Mare,8.1,10.0,15.0,,,8
Esk,1,800.0,8,Royal Prophet,971772.0,54.0,8.0,Ms L Barr,16706,I A Livingstone,Good,0.0,no data,99.0,8.0,,Maiden,,,,,,,,,,,,8
Esk,2,800.0,2,Kappy,952103.0,61.0,1.0,Tiffani Brooker,15251,Glenn Richardson,Good,-0.2,bm,5.0,1.0,,Class B,55.0,,Handicap,4.0,3.0,Horse,2.0,4.0,2.5,,,5
Esk,2,800.0,4,Dee Jay Cee,910659.0,56.5,3.0,Amy Graham,17016,Caitlin Johnstone,Good,0.0,op,2.0,3.0,,Class B,55.0,,Handicap,7.0,24.0,Gelding,14.2,10.0,3.8,,,5
Esk,2,800.0,5,Super Exceptional,972181.0,57.0,2.0,Montanna Savva,15501,Jayden Sims,Good,0.0,op/mf,3.0,4.0,,Class B,55.0,,Handicap,4.0,6.0,Mare,11.1,7.0,7.0,,,5
Esk,2,800.0,6,Craiglea Laki,960297.0,54.5,5.0,Ms L Barr,16706,Krystle Johnston,Good,-7.0,l,1.0,5.0,,Class B,55.0,,Handicap,4.0,14.0,Mare,6.6,6.0,11.0,,,5
Esk,2,800.0,7,Jain,951865.0,55.0,4.0,Kelly Gates,14170,Kristen Wenck,Good,-0.2,op/mf,4.0,2.0,,Class B,55.0,,Handicap,4.0,16.0,Mare,1.6,3.0,8.0,,,5
Esk,3,1200.0,1,Annakuri,952359.0,60.0,4.0,Brodie Moffat,17288,Vic Heading,Good,5.8,op/mf,2.0,1.0,,Benchmark 55,55.0,,Handicap,5.0,21.0,Gelding,0.1,1.0,3.5,,,9
Esk,3,1200.0,2,Velentino,942478.0,60.0,5.0,Amy Graham,17016,R Severino,Good,-3.1,op,1.0,3.0,,Benchmark 55,55.0,,Handicap,4.0,11.0,Gelding,3.2,7.0,18.0,,,9
Esk,3,1200.0,3,King Dick,935423.0,59.0,2.0,J P Morris,11087,Jackson Morris,Good,5.8,mf/bm,7.0,5.0,,Benchmark 55,55.0,,Handicap,6.0,21.0,Gelding,7.0,9.0,8.0,,,9
Esk,3,1200.0,4,Chilli Palmer,961721.0,55.5,7.0,Corey Sutherland,17249,Kym Afford,Good,8.1,bm,9.0,6.0,,Benchmark 55,55.0,,Handicap,4.0,8.0,Gelding,0.5,1.0,6.0,,,9
Esk,3,1200.0,5,Mishani Scandal,938545.0,58.5,6.0,Kenji Yoshida,12327,Amanda Park,Good,10.5,op/mf,4.0,4.0,,Benchmark 55,55.0,,Handicap,5.0,25.0,Gelding,6.9,11.0,15.0,,,9
Esk,3,1200.0,6,Tereshkova,953917.0,58.5,9.0,Ms C Eaton,11966,Michael Marsh,Good,5.8,mf,5.0,7.0,,Benchmark 55,55.0,,Handicap,4.0,16.0,Mare,4.7,8.0,13.0,,,9
Esk,3,1200.0,7,Roman Reign,918176.0,55.5,3.0,Ms L Barr,16706,I A Livingstone,Good,5.8,mf,6.0,2.0,,Benchmark 55,55.0,,Handicap,6.0,28.0,Mare,2.0,6.0,5.0,,,9
Esk,3,1200.0,8,Nicholas Adam,924770.0,55.0,8.0,Nathan Thomas,12823,Wayne Kuskopf,Good,5.0,mf/bm,8.0,9.0,,Benchmark 55,55.0,,Handicap,6.0,42.0,Gelding,16.5,10.0,101.0,,,9
Esk,3,1200.0,9,Seeyou Later,987704.0,52.0,1.0,Rob Thorburn,17350,D R Gafa,Good,4.7,op/mf,3.0,8.0,,Benchmark 55,55.0,,Handicap,3.0,5.0,Gelding,38.1,8.0,151.0,,,9
Esk,4,1460.0,1,Avared,971146.0,59.5,7.0,Dale Smith,4659,S A Dwyer,Good,-5.7,bm,8.0,11.0,3yo+,Maiden,0.0,,Set Weight,5.0,4.0,Gelding,6.6,11.0,101.0,,,12
