Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Broken Hill,2,1100.0,4,All This Mayhem,935630.0,54.0,6.0,Ms C Munro,16040,Nathan Hobson,Good,-1.2,mf,4.0,5.0,,Maiden,0.0,,Set Weight,7.0,24.0,Mare,5.7,5.0,61.0,,,7
Broken Hill,2,1100.0,5,Cinders,872073.0,54.0,7.0,Caitlin Tootell,17178,A W Prisk,Good,0.0,no data,99.0,7.0,,Maiden,0.0,,Set Weight,8.0,53.0,Mare,6.9,5.0,5.0,,,7
Broken Hill,2,1100.0,6,Seminara,926864.0,57.0,2.0,Sairyn Fawke,15114,Ms H J Smith,Good,0.0,mf/bm,6.0,1.0,,Maiden,0.0,,Set Weight,5.0,21.0,Mare,1.4,2.0,1.8,,,7
Broken Hill,2,1100.0,7,Wilkie,966618.0,55.5,5.0,Robert Beattie,7776,Nathan Hobson,Good,-1.3,op,2.0,2.0,,Maiden,0.0,,Set Weight,3.0,4.0,Filly,2.7,5.0,14.0,,,7
Broken Hill,3,1200.0,1,Frowned,962061.0,61.5,3.0,Jade Doyle,16907,Nathan Hobson,Good,-5.9,mf/bm,7.0,3.0,,Benchmark 45,55.0,,Handicap,4.0,19.0,Gelding,1.0,1.0,3.7,,,10
Broken Hill,3,1200.0,2,A Thousand Degrees,858305.0,58.5,8.0,Ms C Munro,16040,T R Montgomerie,Good,-0.8,mf,2.0,1.0,,Benchmark 45,55.0,,Handicap,9.0,65.0,Gelding,4.1,10.0,14.0,,,10
Broken Hill,3,1200.0,3,Hey Denny,973044.0,61.5,1.0,Sairyn Fawke,15114,D E Oliver,Good,-2.7,mf,4.0,6.0,,Benchmark 45,55.0,,Handicap,4.0,8.0,Gelding,3.3,3.0,5.0,,,10
Broken Hill,3,1200.0,4,Toojay,902980.0,60.5,7.0,Robert Beattie,7776,Nathan Hobson,Good,-5.9,mf,3.0,2.0,,Benchmark 45,55.0,,Handicap,8.0,71.0,Gelding,1.0,2.0,8.0,,,10
Broken Hill,3,1200.0,5,Gallant Run,914033.0,58.5,5.0,,0,Ms H J Smith,Good,-4.8,mf,5.0,4.0,,Benchmark 45,55.0,,Handicap,7.0,41.0,Gelding,2.9,2.0,4.0,,,10
Broken Hill,3,1200.0,6,Daveedo,902128.0,57.5,6.0,Murray Henderson,7138,Ms S Ratsch,Good,-6.4,op/mf,1.0,10.0,,Benchmark 45,55.0,,Handicap,7.0,52.0,Gelding,6.7,4.0,11.0,,,10
Broken Hill,3,1200.0,7,Distant Lover,933063.0,54.5,4.0,H Y Yuen,16611,Ms P Trenwith,Good,-6.4,mf/bm,6.0,8.0,,Benchmark 45,55.0,,Handicap,6.0,27.0,Mare,9.2,5.0,4.0,,,10
Broken Hill,3,1200.0,8,Galleries Supreme,916679.0,53.5,10.0,Caitlin Tootell,17178,A W Prisk,Good,-1.7,bm,9.0,7.0,,Benchmark 45,55.0,,Handicap,6.0,24.0,Mare,1.4,1.0,4.0,,,10
Broken Hill,3,1200.0,9,Red Garter,902617.0,56.5,9.0,,0,Kim Talent,Good,-3.6,bm,8.0,9.0,,Benchmark 45,55.0,,Handicap,7.0,20.0,Mare,9.5,5.0,5.0,,,10
Broken Hill,3,1200.0,10,Jawsome,837197.0,55.0,2.0,,0,A W Prisk,Good,-9.4,no data,99.0,5.0,,Benchmark 45,55.0,,Handicap,11.0,108.0,Gelding,14.9,7.0,7.0,,,10
Broken Hill,4,1400.0,1,Smart Elissim,872406.0,62.0,4.0,Robert Beattie,7776,Nathan Hobson,Good,-1.2,op/mf,3.0,1.0,,Benchmark 58,55.0,,Handicap,8.0,53.0,Gelding,6.7,9.0,41.0,,,5
